x0000,y0000,x0001,y0001
106.1,58.81, , ,
106.2,58.81, , ,
106.3,58.81, , ,
106.4,58.81, , ,
106.5,58.81, , ,
106.6,58.81, , ,
106.7,58.88, , ,
106.8,58.88, , ,
106.9,58.88, , ,
107,58.88, , ,
107.1,58.88, , ,
107.2,58.88, , ,
107.3,59, , ,
107.4,59, , ,
107.5,59, , ,
107.6,59, , ,
107.7,59, , ,
107.8,59, , ,
107.9,59.06, , ,
108,59.06, , ,
108.1,59.06, , ,
108.2,59.06, , ,
108.3,59.06, , ,
108.4,59.06, , ,
108.5,59.13, , ,
108.6,59.13, , ,
108.7,59.13, , ,
108.8,59.13, , ,
108.9,59.13, , ,
109,59.13, , ,
109.1,59.19, , ,
109.2,59.19, , ,
109.3,59.19, , ,
109.4,59.19, , ,
109.5,59.19, , ,
109.6,59.19, , ,
109.7,59.25, , ,
109.8,59.25, , ,
109.9,59.25, , ,
110,59.25, , ,
110.1,59.25, , ,
110.2,59.25, , ,
110.3,59.31, , ,
110.4,59.31, , ,
110.5,59.31, , ,
110.6,59.31, , ,
110.7,59.31, , ,
110.8,59.31, , ,
110.9,59.44, , ,
111,59.44, , ,
111.1,59.44, , ,
111.2,59.44, , ,
111.3,59.44, , ,
111.4,59.44, , ,
111.5,59.5, , ,
111.6,59.5, , ,
111.7,59.5, , ,
111.8,59.5, , ,
111.9,59.5, , ,
112,59.5, , ,
112.1,59.56, , ,
112.2,59.56, , ,
112.3,59.56, , ,
112.4,59.56, , ,
112.5,59.56, , ,
112.6,59.56, , ,
